CBSA Code,County/County Equivalent,ST,State Name,County_ST,CBSA Title,Metropolitan/Micropolitan Statistical Area,2012 pop estimate,,
12940,Iberville Parish,LA,Louisiana,Iberville Parish LA,"Baton Rouge, LA",Metropolitan Statistical Area,"33,228",,
12940,Ascension Parish,LA,Louisiana,Ascension Parish LA,"Baton Rouge, LA",Metropolitan Statistical Area,"112,286",,
12940,Livingston Parish,LA,Louisiana,Livingston Parish LA,"Baton Rouge, LA",Metropolitan Statistical Area,"131,942",,
12940,East Baton Rouge Parish,LA,Louisiana,East Baton Rouge Parish LA,"Baton Rouge, LA",Metropolitan Statistical Area,"444,526",,
12980,Calhoun County,MI,Michigan,Calhoun County MI,"Battle Creek, MI",Metropolitan Statistical Area,"135,099",,
13020,Bay County,MI,Michigan,Bay County MI,"Bay City, MI",Metropolitan Statistical Area,"106,935",,
13060,Matagorda County,TX,Texas,Matagorda County TX,"Bay City, TX",Micropolitan Statistical Area,"36,547",,
13100,Gage County,NE,Nebraska,Gage County NE,"Beatrice, NE",Micropolitan Statistical Area,"21,806",,
13140,Newton County,TX,Texas,Newton County TX,"Beaumont-Port Arthur, TX",Metropolitan Statistical Area,"14,200",,
13140,Hardin County,TX,Texas,Hardin County TX,"Beaumont-Port Arthur, TX",Metropolitan Statistical Area,"55,190",,
13140,Orange County,TX,Texas,Orange County TX,"Beaumont-Port Arthur, TX",Metropolitan Statistical Area,"82,977",,
13140,Jefferson County,TX,Texas,Jefferson County TX,"Beaumont-Port Arthur, TX",Metropolitan Statistical Area,"251,813",,
13180,Dodge County,WI,Wisconsin,Dodge County WI,"Beaver Dam, WI",Micropolitan Statistical Area,"88,415",,
13220,Fayette County,WV,West Virginia,Fayette County WV,"Beckley, WV",Metropolitan Statistical Area,"45,869",,
13220,Raleigh County,WV,West Virginia,Raleigh County WV,"Beckley, WV",Metropolitan Statistical Area,"79,021",,
13260,Lawrence County,IN,Indiana,Lawrence County IN,"Bedford, IN",Micropolitan Statistical Area,"46,078",,
13300,Bee County,TX,Texas,Bee County TX,"Beeville, TX",Micropolitan Statistical Area,"32,527",,
13340,Logan County,OH,Ohio,Logan County OH,"Bellefontaine, OH",Micropolitan Statistical Area,"45,474",,
13380,Whatcom County,WA,Washington,Whatcom County WA,"Bellingham, WA",Metropolitan Statistical Area,"205,262",,
13420,Beltrami County,MN,Minnesota,Beltrami County MN,"Bemidji, MN",Micropolitan Statistical Area,"45,375",,
13460,Deschutes County,OR,Oregon,Deschutes County OR,"Bend-Redmond, OR",Metropolitan Statistical Area,"162,277",,
13500,Marlboro County,SC,South Carolina,Marlboro County SC,"Bennettsville, SC",Micropolitan Statistical Area,"28,145",,
13540,Bennington County,VT,Vermont,Bennington County VT,"Bennington, VT",Micropolitan Statistical Area,"36,697",,
13620,Essex County,VT,Vermont,Essex County VT,"Berlin, NH-VT",Micropolitan Statistical Area,"6,226",,
13620,Coos County,NH,New Hampshire,Coos County NH,"Berlin, NH-VT",Micropolitan Statistical Area,"32,096",,
13660,Mecosta County,MI,Michigan,Mecosta County MI,"Big Rapids, MI",Micropolitan Statistical Area,"43,318",,
13700,Glasscock County,TX,Texas,Glasscock County TX,"Big Spring, TX",Micropolitan Statistical Area,"1,259",,
13700,Howard County,TX,Texas,Howard County TX,"Big Spring, TX",Micropolitan Statistical Area,"35,408",,
13720,Norton city,VA,Virginia,Norton city VA,"Big Stone Gap, VA",Micropolitan Statistical Area,"4,068",,
13720,Dickenson County,VA,Virginia,Dickenson County VA,"Big Stone Gap, VA",Micropolitan Statistical Area,"15,690",,
13720,Wise County,VA,Virginia,Wise County VA,"Big Stone Gap, VA",Micropolitan Statistical Area,"40,918",,
13740,Golden Valley County,MT,Montana,Golden Valley County MT,"Billings, MT",Metropolitan Statistical Area,839,,
13740,Carbon County,MT,Montana,Carbon County MT,"Billings, MT",Metropolitan Statistical Area,"10,127",,
13740,Yellowstone County,MT,Montana,Yellowstone County MT,"Billings, MT",Metropolitan Statistical Area,"151,882",,
13780,Tioga County,NY,New York,Tioga County NY,"Binghamton, NY",Metropolitan Statistical Area,"50,478",,
13780,Broome County,NY,New York,Broome County NY,"Binghamton, NY",Metropolitan Statistical Area,"198,060",,
13820,Bibb County,AL,Alabama,Bibb County AL,"Birmingham-Hoover, AL",Metropolitan Statistical Area,"22,597",,
13820,Chilton County,AL,Alabama,Chilton County AL,"Birmingham-Hoover, AL",Metropolitan Statistical Area,"43,819",,
13820,Blount County,AL,Alabama,Blount County AL,"Birmingham-Hoover, AL",Metropolitan Statistical Area,"57,826",,
13820,Walker County,AL,Alabama,Walker County AL,"Birmingham-Hoover, AL",Metropolitan Statistical Area,"66,221",,
13820,St. Clair County,AL,Alabama,St. Clair County AL,"Birmingham-Hoover, AL",Metropolitan Statistical Area,"85,237",,
13820,Shelby County,AL,Alabama,Shelby County AL,"Birmingham-Hoover, AL",Metropolitan Statistical Area,"200,941",,
13820,Jefferson County,AL,Alabama,Jefferson County AL,"Birmingham-Hoover, AL",Metropolitan Statistical Area,"660,009",,
13900,Oliver County,ND,North Dakota,Oliver County ND,"Bismarck, ND",Metropolitan Statistical Area,"1,838",,
13900,Sioux County,ND,North Dakota,Sioux County ND,"Bismarck, ND",Metropolitan Statistical Area,"4,347",,
13900,Morton County,ND,North Dakota,Morton County ND,"Bismarck, ND",Metropolitan Statistical Area,"28,101",,
13900,Burleigh County,ND,North Dakota,Burleigh County ND,"Bismarck, ND",Metropolitan Statistical Area,"85,774",,
13940,Bingham County,ID,Idaho,Bingham County ID,"Blackfoot, ID",Micropolitan Statistical Area,"45,474",,
13980,Floyd County,VA,Virginia,Floyd County VA,"Blacksburg-Christiansburg-Radford, VA",Metropolitan Statistical Area,"15,390",,
13980,Radford city,VA,Virginia,Radford city VA,"Blacksburg-Christiansburg-Radford, VA",Metropolitan Statistical Area,"16,685",,
13980,Giles County,VA,Virginia,Giles County VA,"Blacksburg-Christiansburg-Radford, VA",Metropolitan Statistical Area,"16,928",,
13980,Pulaski County,VA,Virginia,Pulaski County VA,"Blacksburg-Christiansburg-Radford, VA",Metropolitan Statistical Area,"34,736",,
13980,Montgomery County,VA,Virginia,Montgomery County VA,"Blacksburg-Christiansburg-Radford, VA",Metropolitan Statistical Area,"95,194",,
14010,De Witt County,IL,Illinois,De Witt County IL,"Bloomington, IL",Metropolitan Statistical Area,"16,434",,
14010,McLean County,IL,Illinois,McLean County IL,"Bloomington, IL",Metropolitan Statistical Area,"172,281",,
14020,Owen County,IN,Indiana,Owen County IN,"Bloomington, IN",Metropolitan Statistical Area,"21,380",,
14020,Monroe County,IN,Indiana,Monroe County IN,"Bloomington, IN",Metropolitan Statistical Area,"141,019",,
14100,Montour County,PA,Pennsylvania,Montour County PA,"Bloomsburg-Berwick, PA",Metropolitan Statistical Area,"18,356",,
14100,Columbia County,PA,Pennsylvania,Columbia County PA,"Bloomsburg-Berwick, PA",Metropolitan Statistical Area,"66,887",,
14140,Tazewell County,VA,Virginia,Tazewell County VA,"Bluefield, WV-VA",Micropolitan Statistical Area,"44,268",,
14140,Mercer County,WV,West Virginia,Mercer County WV,"Bluefield, WV-VA",Micropolitan Statistical Area,"62,523",,
14180,Mississippi County,AR,Arkansas,Mississippi County AR,"Blytheville, AR",Micropolitan Statistical Area,"45,562",,
14220,Washington Parish,LA,Louisiana,Washington Parish LA,"Bogalusa, LA",Micropolitan Statistical Area,"46,670",,
14260,Boise County,ID,Idaho,Boise County ID,"Boise City, ID",Metropolitan Statistical Area,"6,835",,
14260,Owyhee County,ID,Idaho,Owyhee County ID,"Boise City, ID",Metropolitan Statistical Area,"11,439",,
14260,Gem County,ID,Idaho,Gem County ID,"Boise City, ID",Metropolitan Statistical Area,"16,673",,
14260,Canyon County,ID,Idaho,Canyon County ID,"Boise City, ID",Metropolitan Statistical Area,"193,888",,
14260,Ada County,ID,Idaho,Ada County ID,"Boise City, ID",Metropolitan Statistical Area,"409,061",,
14340,Boone County,IA,Iowa,Boone County IA,"Boone, IA",Micropolitan Statistical Area,"26,195",,
14380,Watauga County,NC,North Carolina,Watauga County NC,"Boone, NC",Micropolitan Statistical Area,"51,871",,
14420,Hutchinson County,TX,Texas,Hutchinson County TX,"Borger, TX",Micropolitan Statistical Area,"21,922",,
14460,Strafford County,NH,New Hampshire,Strafford County NH,"Boston-Cambridge-Newton, MA-NH",Metropolitan Statistical Area,"124,119",,
14460,Rockingham County,NH,New Hampshire,Rockingham County NH,"Boston-Cambridge-Newton, MA-NH",Metropolitan Statistical Area,"297,820",,
14460,Plymouth County,MA,Massachusetts,Plymouth County MA,"Boston-Cambridge-Newton, MA-NH",Metropolitan Statistical Area,"499,759",,
14460,Norfolk County,MA,Massachusetts,Norfolk County MA,"Boston-Cambridge-Newton, MA-NH",Metropolitan Statistical Area,"681,845",,
14460,Suffolk County,MA,Massachusetts,Suffolk County MA,"Boston-Cambridge-Newton, MA-NH",Metropolitan Statistical Area,"744,426",,
