line,name,url,created_at,updated_at,the_geom,cartodb_id,the_geom_webmercator
B-Q,Branch 6 St & Brighton Beach Rd At Nw Corner,http://www.mta.info/nyct/service/,2012-09-10 00:00:00,2012-09-10 00:00:00,0101000020E610000015C5DFC4907D52C04E394BC3F0494440,863,0101000020110F00007D718CF56F685FC1CB19523239E25241
B-Q,Branch 6 St & Brighton Beach Rd At Nw Corner,http://www.mta.info/nyct/service/,2012-09-10 00:00:00,2012-09-10 00:00:00,0101000020E61000004C8FD8CD8C7D52C036A78D4DF2494440,864,0101000020110F000015CF6B3969685FC1D9792EEB3AE25241
B-Q,Branch 7 St & Brighton Beach Rd At Se Corner,http://www.mta.info/nyct/service/,2012-09-10 00:00:00,2012-09-10 00:00:00,0101000020E61000008EA6D096737D52C0F83E8FE4F2494440,865,0101000020110F0000C8CEE6643E685FC1CA6709943BE25241
F,Mcdonald Ave & Gravesend Neck Rd At Sw Corner,http://www.mta.info/nyct/service/,2012-09-10 00:00:00,2012-09-10 00:00:00,0101000020E6100000801E7C50507E52C08B7721F12B4C4440,866,0101000020110F0000BDC37751B5695FC1B28EC8F8B7E45241
F,Mcdonald Ave & Avenue U At Sw Corner,http://www.mta.info/nyct/service/,2012-09-10 00:00:00,2012-09-10 00:00:00,0101000020E6100000FA48D3004D7E52C09292217D654C4440,867,0101000020110F0000ED02A2B1AF695FC1AD3D9B56F8E45241
F,Mcdonald Ave & Avenue U At Se Corner,http://www.mta.info/nyct/service/,2012-09-10 00:00:00,2012-09-10 00:00:00,0101000020E610000007D91D23487E52C0962F26E6644C4440,868,0101000020110F000060D4AB6DA7695FC149E4BAADF7E45241
N,7th St & Highlawn Ave At Sw Corner,http://www.mta.info/nyct/service/,2012-09-10 00:00:00,2012-09-10 00:00:00,0101000020E6100000CE489594BB7E52C036BC020D364D4440,869,0101000020110F0000D34335856B6A5FC1F8C757A1E1E55241
F,Mcdonald Ave & Avenue N At Nw Corner,http://www.mta.info/nyct/service/,2012-09-10 00:00:00,2012-09-10 00:00:00,0101000020E6100000A759D707597E52C0D4EC4701A24E4440,870,0101000020110F0000C5B2A61FC4695FC1BF51FDCA78E75241
F,Mcdonald Ave & Avenue N At Ne Corner,http://www.mta.info/nyct/service/,2012-09-10 00:00:00,2012-09-10 00:00:00,0101000020E61000005D9309E7537E52C07B32392BA24E4440,871,0101000020110F00007AC7B869BB695FC1A250EAF978E75241
N,20th Ave & 64th St At Ne Corner,http://www.mta.info/nyct/service/,2012-09-10 00:00:00,2012-09-10 00:00:00,0101000020E61000001C6D67A2087F52C0D7D20BA7054F4440,872,0101000020110F000028F27F67EE6A5FC13D234948E8E75241
F,Mcdonald Ave & Avenue M At Se Corner,http://www.mta.info/nyct/service/,2012-09-10 00:00:00,2012-09-10 00:00:00,0101000020E6100000D5D5B1075A7E52C001B253B5DD4E4440,873,0101000020110F00005D773ED2C5695FC152B13497BBE75241
F,Mcdonald Ave & Bay Pkwy At Sw Corner,http://www.mta.info/nyct/service/,2012-09-10 00:00:00,2012-09-10 00:00:00,0101000020E61000008BE4EF9F6E7E52C08907701C784F4440,874,0101000020110F000000A4ADCDE8695FC14B99665968E85241
F,Mcdonald Ave & Bay Pkwy At Nw Corner,http://www.mta.info/nyct/service/,2012-09-10 00:00:00,2012-09-10 00:00:00,0101000020E61000003B67783F6E7E52C0007D9212824F4440,875,0101000020110F0000DBDDD129E8695FC1A81DCF7E73E85241
F,Mcdonald Ave & Avenue S At Ne Corner,http://www.mta.info/nyct/service/,2012-09-10 00:00:00,2012-09-10 00:00:00,0101000020E610000042123E213B7E52C03A762CC2144D4440,876,0101000020110F00002E808B5591695FC151EC8A63BCE55241
F,Mcdonald Ave & Kings Hwy At Sw Corner,http://www.mta.info/nyct/service/,2012-09-10 00:00:00,2012-09-10 00:00:00,0101000020E610000049E1BC033C7E52C0F26745E3504D4440,877,0101000020110F0000D22245D692695FC1FF7DA5A6FFE55241
F,Mcdonald Ave & Avenue P At Sw Corner,http://www.mta.info/nyct/service/,2012-09-10 00:00:00,2012-09-10 00:00:00,0101000020E610000032952484477E52C021E125CDE64D4440,878,0101000020110F0000036EA35FA6695FC1B975285BA7E65241
B-Q,15th St & Kings Hwy At Se Corner,http://www.mta.info/nyct/service/,2012-09-10 00:00:00,2012-09-10 00:00:00,0101000020E6100000F65FCF904F7D52C02A9DA863EC4D4440,879,0101000020110F0000F0EB653401685FC1E5227F9BADE65241
B-Q,15th St & Kings Hwy At Se Corner,http://www.mta.info/nyct/service/,2012-09-10 00:00:00,2012-09-10 00:00:00,0101000020E610000099268EEC4A7D52C0FDD4ACCBF04D4440,880,0101000020110F0000B91E0752F9675FC1B1A86E89B2E65241
B-Q,15th St & Avenue M At Se Corner,http://www.mta.info/nyct/service/,2012-09-10 00:00:00,2012-09-10 00:00:00,0101000020E610000049474AD8677D52C0F1B73B3A1B4F4440,881,0101000020110F0000D73A04722A685FC10B3A026C00E85241
B-Q,15th St & Avenue J At Se Corner,http://www.mta.info/nyct/service/,2012-09-10 00:00:00,2012-09-10 00:00:00,0101000020E61000004C9446717E7D52C0C78BF59C04504440,882,0101000020110F0000868865D450685FC126DDA99005E95241
B-Q,14th St & Voorhies Ave At Ne Corner,http://www.mta.info/nyct/service/,2012-09-10 00:00:00,2012-09-10 00:00:00,0101000020E610000084D0862F137D52C0B27C1E72FA4A4440,883,0101000020110F00007B92A5A49A675FC1D8610F4D62E35241
