storenum,opendate,date_super,conversion,st,county,streetaddr,strcity,strstate,zipcode,type_store,latitude,longitude
527,Tue May 03 00:00:00 -0400 1983,Tue Mar 01 00:00:00 -0500 1994,1,48,039,1801 N VELASCO,Angleton,TX,77515,Supercenter,29.194918,-95.433791
528,Tue May 17 00:00:00 -0400 1983,Sat Mar 01 00:00:00 -0500 1997,1,12,081,2911 53RD AVENUE EAST,Brandenton,FL,34203,Supercenter,27.447422,-82.531243
529,Fri Jul 01 00:00:00 -0400 1983,Wed Apr 16 00:00:00 -0400 2003,1,48,167,6410 I-45,Texas City,TX,77568,Supercenter,29.403463,-95.034303
530,Fri Jul 01 00:00:00 -0400 1983,Fri Mar 01 00:00:00 -0500 1996,1,05,139,2730 NORTHWEST AVE,El Dorado,AR,71730,Supercenter,33.058821,-92.157314
531,Tue Mar 05 00:00:00 -0500 1985,Wed Apr 18 00:00:00 -0400 2001,1,22,055,3142 AMBASSADOR CAFFERY PKWY,Lafayette,LA,70506,Supercenter,30.187424,-92.075017
532,Fri Jul 01 00:00:00 -0400 1983,Wed Mar 01 00:00:00 -0500 2000,1,22,005,308 N AIRLINE HWY,Gonzales,LA,70737,Supercenter,30.234462,-90.910032
533,Tue May 17 00:00:00 -0400 1983,Fri Mar 01 00:00:00 -0500 2002,1,22,045,1205 E ADMIRAL DOYLE,New Iberia,LA,70560,Supercenter,29.982547,-91.814929
534,Tue May 17 00:00:00 -0400 1983,Wed Mar 01 00:00:00 -0500 2000,1,22,055,1229 NE EVANGELINE THRUWAY,Lafayette,LA,70501,Supercenter,30.219494,-92.006586
535,Tue May 03 00:00:00 -0400 1983,Fri Mar 01 00:00:00 -0500 1996,1,48,441,4350 SOUTHWEST DR,Abilene,TX,79606,Supercenter,32.409405,-99.779479
536,Tue May 03 00:00:00 -0400 1983,Wed Aug 24 00:00:00 -0400 2005,1,48,441,1650 STATE HWY 351,Abilene,TX,79601,Supercenter,32.478166,-99.698151
537,Tue Jun 07 00:00:00 -0400 1983,Tue Mar 01 00:00:00 -0500 1994,1,48,135,4210 JOHN BEN SHEPHERD PKWY,Odessa,TX,79762,Supercenter,31.893937,-102.334183
538,Tue May 17 00:00:00 -0400 1983,,,12,001,2649 NW 13TH STREET,Gainesville,FL,32609,Wal-Mart,29.676986,-82.339114
