cartodb_id,the_geom,name,iso2,population
2401152,0101000020E610000068BC7493188402C02F0DC347C4984440,Somaén,ES,0
2401193,0101000020E6100000F57AF7C77B9505C0389CF9D51C604440,Solanillos del Extremo,ES,120
2401303,0101000020E6100000B8196EC0E70700C02DE23B31EB954440,Sisamón,ES,56
2401370,0101000020E61000000EEECEDA6D170DC04156B77A4E964440,Sigueruelo,ES,0
2401371,0101000020E6100000E51DA7E848EE0CC0DD59BBED42974440,Siguero,ES,0
2401373,0101000020E610000084B18520072505C02805DD5ED2884440,Sigüenza,ES,4818
2401389,0101000020E61000001B2098A3C7AF0CC05925581CCE744440,Sieteiglesias,ES,0
2401420,0101000020E6100000ED940ED6FF3905C0EEE6A90EB9994440,Sienes,ES,76
2401458,0101000020E6100000FBBCA94885310DC0A6E33103950D4440,Seseña Nuevo,ES,0
2401460,0101000020E61000009F2DE7525C950DC07D74EACA670D4440,Seseña,ES,16231
2401500,0101000020E61000002D8672A25D450CC01678EE3D5C7E4440,Serrada de la Fuente,ES,0
2401502,0101000020E6100000FDEC478AC8300BC0158733BF9A4F4440,Serracines,ES,0
2401503,0101000020E61000007BD0B359F5B90AC0660FB40243A64440,Serracín,ES,0
2401541,0101000020E61000003A889D29745E0CC08FA0F831E6AE4440,Sequera de Fresno,ES,42
2401563,0101000020E6100000EEA7C64B378903C07EC16ED8B6B04440,Señuela,ES,0
2401597,0101000020E6100000BD0E9C33A2F408C06B43C5387F874440,Semillas,ES,52
2401622,0101000020E6100000E1AFC91AF5D000C06E1283C0CA794440,Selas,ES,64
2401714,0101000020E6100000FBDEA63FFBD106C0BFEC9E3C2C304440,Sayatón,ES,131
2401726,0101000020E610000053008C67D0D007C0CE7EA4880CAF4440,Sauquillo de Paredes,ES,0
2401727,0101000020E6100000B19DEFA7C6CB03C012D044D8F0B04440,Sauquillo del Campo,ES,0
2401737,0101000020E61000002397FF907E3B04C03F6A1327F7834440,Saúca,ES,70
2401923,0101000020E6100000B7FC87F4DB1709C0C724236761834440,Santotís,ES,0
2401930,0101000020E610000070E6577380E009C0CCC7B5A1623C4440,Santorcaz,ES,729
2401965,0101000020E6100000090C59DDEA7906C0324B02D4D48A4440,Santiuste,ES,23
2402017,0101000020E6100000A7C64B3789410AC0720CC85EEFAA4440,Santibáñez de Ayllón,ES,0
2402124,0101000020E61000009E93DE37BE3606C0D30968226C904440,Santamera,ES,0
2402129,0101000020E6100000AF8A37328F7C0DC08D3BA583F59B4440,Santa Marta del Cerro,ES,53
2402178,0101000020E6100000DBD78173465400C0F636FDD98F404440,Santa María del Val,ES,96
2402198,0101000020E610000067CBB914575501C08169183E22A24440,Santa María de Huerta,ES,405
2402363,0101000020E6100000BF78060DFDD301C05D9D6340F6464440,Santa Cristina,ES,0
2402395,0101000020E6100000CBCCCCCCCCCC06C01B03B2D7BB5B4440,Santa Clara,ES,0
2402441,0101000020E61000007515527E52ED0CC0A61DFE9AAC454440,San Sebastián de los Reyes,ES,75912
2402531,0101000020E6100000E32CEC69873F03C0B9D573D2FB364440,San Pedro Palmiches,ES,92
2402761,0101000020E61000008BEE2076A6900CC0AB69DE718A1A4440,San Martín de la Vega,ES,18256
2403026,0101000020E6100000322E1C08C9420CC0900A630B41364440,San Fernando de Henares,ES,40981
2403203,0101000020E61000008AA19C6857210DC00BE02D90A09C4440,Sanchofruela,ES,0
2403277,0101000020E6100000FF6E8104C58F06C0AE5FB01BB6514440,San Andrés del Rey,ES,46
2403280,0101000020E610000019A88C7F9F3108C0C0CAA145B67F4440,San Andrés del Congosto,ES,79
2403309,0101000020E6100000C9A65CE15DEE0CC073EFE192E3564440,San Agustín de Guadalix,ES,11133
2403374,0101000020E61000009AFEEC478A8800C07C96E7C1DD1D4440,Salto de Villalba,ES,0
2403393,0101000020E6100000612D3E05C03804C017EC866D8B424440,Salmeroncillos de Arriba,ES,0
2403394,0101000020E610000092BC3AC7802C04C00CA661F888404440,Salmeroncillos de Abajo,ES,172
2403396,0101000020E6100000DE2D90A0F8F103C0FC6A0E10CC454440,Salmerón,ES,217
2403413,0101000020E61000007F9F71E1404803C023624A24D1934440,Salinas de Medinaceli,ES,0
2403460,0101000020E61000003280B74082620BC0C4E6E3DA50B14440,Saldaña de Ayllón,ES,0
2403535,0101000020E6100000465A2A6F473802C0C06ED8B628934440,Sagides,ES,0
2403546,0101000020E6100000BB749318049602C09BF9D51C20744440,Saelices de la Sal,ES,70
2403557,0101000020E6100000EEE192E34E2902C06EF085C954194440,Sacedoncillo,ES,0
2403559,0101000020E6100000ADF02E17F1DD05C0CA9C2E8B893D4440,Sacedón,ES,1674
2403560,0101000020E6100000BE60376C5BD406C01C5A643BDF134440,Saceda-Trasierra,ES,101
2403561,0101000020E610000078758E01D9EB04C0DCAB5626FC1A4440,Saceda del Río,ES,0
2403564,0101000020E610000060670A9DD75803C0EC0DBE30996A4440,Sacecorbo,ES,153
2403630,0101000020E6100000F719170E84A404C0CD70033E3F604440,Ruguilla,ES,0
2403726,0101000020E61000008E368E588B8F0CC0A7A9656B7D994440,Rosuero,ES,0
2403744,0101000020E6100000AF03E78C286D0DC0F601486DE22C4440,Rosales,ES,0
2403783,0101000020E6100000E7F17B9BFEEC07C0D8FE959526494440,Romanones,ES,131
2403784,0101000020E61000002E6EA301BCC504C0CAB4FD2B2BA14440,Romanillos de Medinaceli,ES,0
2403785,0101000020E610000032333333333307C08169183E22A24440,Romanillos de Atienza,ES,59
2403788,0101000020E6100000FB6A0E10CC1107C0065F984C15584440,Romancos,ES,0
2403886,0101000020E6100000AAB2EF8AE0BF0CC00A5EF415A48D4440,Robregordo,ES,0
2403891,0101000020E61000001E4B1FBAA0BE08C0283A92CB7F844440,Robredarcas,ES,0
2403899,0101000020E6100000C9E02879758E0AC0A68C7F9F718D4440,Robleluengo,ES,0
2403900,0101000020E61000003D8C101E6D9C0AC0A6A9656B7D894440,Roblelacasa,ES,0
2403916,0101000020E610000098999999999907C00E406A13278F4440,Robledo de Corpes,ES,107
2403940,0101000020E6100000D0CB28965BDA09C02F815B77F36C4440,Robledillo de Mohernando,ES,122
2403942,0101000020E610000059CEA5B8AA2C0CC017C5724BAB794440,Robledillo de la Jara,ES,102
2404029,0101000020E6100000640113B8757705C0AFC91AF510914440,Ríosalido,ES,0
2404054,0101000020E6100000D1872EA86F990BC0862EA86F999F4440,Ríofrío de Riaza,ES,54
2404055,0101000020E61000008026C286A79706C043A33B889D914440,Ríofrío del Llano,ES,60
2404136,0101000020E6100000CE49EF1B5FBB05C04BA60A46259D4440,Rienda,ES,0
2404166,0101000020E6100000706DA818E76F0BC0EC478AC8B0AE4440,Ribota,ES,50
2404199,0101000020E6100000C84FAA7D3A1E0BC068006F8104554440,Ribatejada,ES,437
2404200,0101000020E6100000135CACA8C13401C0521D7233DC284440,Ribatajadilla,ES,0
2404201,0101000020E610000086E123624A6401C01CC4CE143A2B4440,Ribatajada,ES,0
