Prop_ID,Name,Location,Num_of_Courts,Accessible,lat,lon,facilities_Id
" X257 "," Mount Hope Playground "," E. 177 St. & Walton Ave. ",""," N "," 40.8505 "," -73.9094 ",0
" X034 "," Mullaly Park "," E 164 St. & River Ave. ",""," N "," 40.8317 "," -73.925 ",0
" X168 "," Nelson Playground "," W 166 St. & Nelson Ave. ",""," N "," 40.8347 "," -73.9269 ",0
" X123 "," Noble Playground "," Noble & Bronx River Aves. ",""," N "," 40.8369 "," -73.8726 ",0
" X039 "," Orchard Beach "," Bruckner Blvd., Eastchester Bay, Hutchinson River and LI Sound ",""," N "," 40.8688 "," 73.7922 ",0
" X151 "," P.O. Hillario Serrano Playground "," Olmstead & Castle Hill Aves. ",""," N "," 40.8237 "," -73.8505 ",0
" X177 "," Parker Playground "," Castle Hill Ave. & Parker St. ",""," N "," 40.8392 "," -73.853 ",0
" X162 "," Parkside Playground "," Arnow Ave. & Olinville Ave. ",""," N "," 40.8682 "," -73.868 ",0
" X155 "," Patterson Playground "," Morris & College Aves. ",""," N "," 40.816 "," -73.9216 ",0
" X039 "," Pelham Bay Playground "," Middletown Road, off Bruckner Blvd. ",""," N "," 40.8483 "," -73.8252 ",0
" X148H1 "," Prospect Playground "," Clinton Ave. & E 176 St. ",""," N "," 40.8432 "," -73.8906 ",0
" X141 "," PS 21 Playground/Rienzi Playground "," E 225 St. & White Plains Rd. ",""," N "," 40.8879 "," -73.8592 ",0
" X133 "," PS 48 Playground/Hunts Point Playground "," Faile St. & Hunts Point Ave. ",""," N "," 40.8225 "," -73.819 ",0
" X203 "," Randall Playground "," Randall & Castle Hill Aves. ",""," N "," 40.8193 "," -73.8494 ",0
" X186 "," Riverdale Playground "," W 237 St. & Independence Ave. ",""," N "," 40.8883 "," -73.9152 ",0
" X238 "," Saw Mill Playground "," Brook Ave. & E 140 St. ",""," N "," 40.8088 "," -73.9193 ",0
" X158 "," Sedgwick Playground "," Undercliff Ave. & Cross Bronx Expwy. ",""," N "," 40.8455 "," -73.923 ",0
" X201 "," Seton Park "," W 235 St. & Douglas Ave. ",""," N "," 40.8864 "," -73.9171 ",0
" X085 "," Slattery Playground "," Ryer & Valentine Aves. ",""," N "," 40.8574 "," -73.8988 ",0
" X118 "," Sound View Park "," Bronx River & Lafayette Aves. ",""," Y "," 40.8143 "," -73.8655 ",0
" X221 "," Space-Time Playground "," Lafayette & Bolton Aves. ",""," N "," 40.8225 "," -73.8598 ",0
" X171 "," Spuyten Duyvil Playground "," W 236 St. & Douglas Ave. ",""," N "," 40.8871 "," -73.9156 ",0
" X044 "," St. James Park "," E 193 St. & Jerome Ave. ",""," Y "," 40.8658 "," -73.8972 ",0
" X045 "," St. Mary's Playground East "," Jackson Ave. & St. Mary's St. ",""," N "," 40.8125 "," -73.9138 ",0
" X045 "," St. Mary's Playground West "," Saint Ann's Ave. & E 147 St. ",""," N "," 40.8102 "," -73.9105 ",0
" X193 "," Stars & Stripes Playground "," Crawford & Baychester Aves. ",""," N "," 40.8857 "," -73.8396 ",0
" X211 "," Stebbins Playground "," E 165 St. & Stebbins Ave. ",""," N "," 40.8226 "," -73.8983 ",0
" X204 "," Story Playground "," Theriot & Story Aves. ",""," N "," 40.8229 "," -73.8631 ",0
" X172 "," The Pearly Gates Playground "," Tratman & Saint Peter's Aves. ",""," N "," 40.8659 "," -73.8503 ",0
" X190 "," Tiffany Playground "," Fox, Tiffany & E 167 Sts. ",""," N "," 40.8249 "," -73.8944 ",0
" X092 "," Van Cortlandt Stadium "," Van Cortlandt Park South & Gouverneur Ave. ",""," N "," 40.8853 "," -73.891 ",0
" X188 "," Wakefield Playground "," Carpenter Ave. & E 239 St. ",""," N "," 40.9018 "," -73.8543 ",0
" X002 "," Waring Playground "," Waring Ave. & Bronx Pk E. ",""," N "," 40.8602 "," -73.8715 ",0
" X124 "," Watson Gleason Playground "," Watson & Rosedale Aves. ",""," N "," 40.8281 "," -73.8689 ",0
" X174 "," Webster Playground "," E 188 St. & Webster Ave. ",""," N "," 40.8594 "," -73.8927 ",0
" X104 "," Williamsbridge Oval "," Van Cortlandt Ave. E, Bainbridge Ave. and Reservoir Oval ",""," N "," 40.8768 "," -73.8776 ",0
" X217 "," Willis Playground "," Willis Ave. & E 141 St. ",""," N "," 40.8107 "," -73.9236 ",0
" B297 "," Albemarle Playground "," Albermarle Rd., Dahill Rd. and McDonald Ave. ",""," N "," 40.646 "," -73.9808 ",0
" B253 "," Albert J. Parham Playground "," Franklin Ave. between Willoughby and DeKalb Aves. ",""," N "," 40.6905 "," -73.9709 ",0
" B253 "," Albert Lysander Parham Playground "," Adelphi St., Clermont, DeKalb and Willoughby Aves. ",""," N "," 40.6905 "," -73.9709 ",0
" B193 "," Alex Hamilton-Metz Memorial Field "," Albany, East New York and Lefferts Aves. ",""," N "," 40.6626 "," -73.9405 ",0
" B329 "," Alex Lindower Park "," Mill & Strickland Aves. ",""," Y "," 40.6131 "," -73.912 ",0
" B001 "," American Playground "," Noble, Franklin & Milton Sts. ",""," N "," 40.729 "," -73.9578 ",0
" B287 "," Andries Playground "," Ave. K & Nostrand Ave. ",""," N "," 40.623 "," -73.9464 ",0
" B140 "," Banneker Playground "," Marcy Ave., Kosciusko St. and Lafayette Ave. ",""," N "," 40.6903 "," -73.9494 ",0
" B286 "," Bartlett Playground "," Bartlett St. & Throop Ave. ",""," N "," 40.7012 "," -73.946 ",0
" B164 "," Bath Beach Playground "," Shore Pkwy. & 17 Ave. ",""," N "," 40.6024 "," -74.0107 ",0
" B349 "," Bath Playground "," Bath Ave. between 24 Ave. and Bay 37 St. ",""," N "," 40.5946 "," -73.9936 ",0
" B274 "," Bay View Houses & PS 272 "," S/JS Seaview Ave. Opposite E 99 St. ",""," N "," 40.6348 "," -73.8871 ",0
" B100 "," Bealin Square & Seth Low Playground "," Ave. P., Bay Pkwy. and W 12 St. ",""," N "," 40.6079 "," -73.9859 ",0
" B142 "," Bedford Playground "," Bedford Ave., S 9 St. and Division Ave. ",""," N "," 40.7084 "," -73.9637 ",0
" B283 "," Belmont Playground "," Pitkin Ave., Drew St., Belmont Ave., and N Conduit Ave. ",""," N "," 40.6757 "," -73.8629 ",0
" B277 "," Benson Playground "," Bath Ave. between Bay 22 and Bay 23 Sts. ",""," N "," 40.6027 "," -74.0025 ",0
" B007 "," Bensonhurst Park "," Gravesend Bay, 21 Ave., Cropsey Ave. and Bay Pkwy. ",""," Y "," 40.5977 "," -74.0011 ",0
" B353 "," Bergen Beach Park "," Ave. T, Ave. N, E 71 St. and E 72 St. ",""," N "," 40.6226 "," -73.9095 ",0
" B154 "," Berry Playground "," S 3 St., Berry St. and Bedford Ave. ",""," N "," 40.7126 "," -73.9637 ",0
" B008 "," Betsy Head Memorial Playground "," Livonia Ave., Dumont Ave., Hopkinson Ave., Blake Ave. and Strauss St. ",""," N "," 40.6643 "," -73.9119 ",0
" B335 "," Bildersee Playground "," Flatlands Ave. between E 81 and E 82 St. ",""," N "," 40.6354 "," -73.9117 ",0
" B223J03 "," Bridge Park "," E/S Jay St., Prospect St., Sands St. and Charles St. ",""," N ","","",0
" B169A "," Brighton Playground "," W/S Brighton 2 Sts. At Boardwalk ",""," N "," 40.5751 "," -73.9657 ",0
" B162 "," Brizzi Playground "," 42 St. & 10 to New Utrecht Aves. ",""," N "," 40.6424 "," -73.9947 ",0
" B012 "," Brower Park & PS 189 "," Brooklyn Ave., St. Mark's Ave., Kingston Ave. and Strauss St. ",""," N "," 40.6735 "," -73.9442 ",0
" B270 "," Brownsville Rec. Center & Playground "," Linden Blvd. and Christopher Ave. ",""," N "," 40.6568 "," -73.9014 ",0
" B310 "," Bushwick Playground "," Knickerbocker Ave., Putnam Ave. and Woodbine St. ",""," N "," 40.7018 "," -73.9394 ",0
" B018 "," Canarsie Park "," Paedergat Basin and Seaview Ave. ",""," N "," 40.6308 "," -73.8933 ",0
" B330 "," Capt. V. Hickman Park/IS 78 "," Veterans Ave. between E 66 and E 68 Sts. ",""," N "," 40.6204 "," -73.9135 ",0
" B347 "," Carver Playground "," Ralph Ave., Sumpter St., Howard Ave. and Marion St. ",""," N "," 40.6805 "," -73.9207 ",0
" B337 "," Century Playground "," W Brighton Ave. between W 2 and W 3 Sts. ",""," N "," 40.577 "," -73.97 ",0
" B362 "," Chester Playground "," Chester St., Sutter Ave., Bristol St. and Pitkin Ave. ",""," N "," 40.6688 "," -73.9119 ",0
" B141 "," City Line Park "," Atlantic & Fountain Aves. ",""," N "," 40.6789 "," -73.8746 ",0
" B128 "," Col. David Marcus Memorial Playground "," Ave. P & E 5 Sts. ",""," N "," 40.6097 "," -73.9696 ",0
" B021 "," Commodore Barry Park & Playground "," Park Ave., Navy St., Flushing Ave. and N. Eliot Pl. ",""," N "," 40.6978 "," -73.9791 ",0
" B025 "," Cooper Park "," Sharon St, Olive St., Maspeth Ave. and Morgan Ave. ",""," N "," 40.7156 "," -73.9362 ",0
" B103 "," Cypress Hills Houses Playground "," Blake & Euclid Aves. ",""," N "," 40.6702 "," -73.8711 ",0
" B232 "," Dean Playground "," Dean to Bergen Sts., between 6 and Carlton Aves. ",""," N "," 40.681 "," -73.9734 ",0
" B215 "," Decatur Playground "," Decatur and MacDonough Sts., between Sumner and Lewis Aves. ",""," N "," 40.6815 "," -73.9369 ",0
" B293 "," DeKalb Playground/PS 270 Playground "," Lafayette & Classon Aves. ",""," N "," 40.6892 "," -73.9609 ",0
" B271 "," Ditmas Playground/Railroad Playground "," Ditmas Ave. between E 91 & E 92 Sts. ",""," N "," 40.6495 "," -73.9143 ",0
" B056 "," Dr. Martin Luther King, Jr. Park "," Dumont Ave., Blake Ave., Miller Ave. and Bradford St. ",""," N "," 40.6681 "," -73.8905 ",0
" B228 "," Dr. Richard Greene Playground "," Stone & Sutter Aves. ",""," N "," 40.6674 "," -73.9066 ",0
" B125 "," Dreier-Offerman Park "," Gravesend Bay, Bay 44-Bay 49 Sts. and Shore Pkwy. ",""," N "," 40.5876 "," -73.9905 ",0
" B028 "," Dyker Beach Park "," Shore Pkwy., 86 St. and 7 to 14 Aves. ",""," Y "," 40.6126 "," -74.0126 ",0
" B282 "," Patrick O’Rourke Park "," 80 to 81 Sts. and 11 to 12 Aves. ",""," N "," 40.6191 "," -74.0135 ",0
" B321 "," Edmonds Playground "," DeKalb Ave., Adelphi St., and Carlton Ave. ",""," N "," 40.6892 "," -73.9712 ",0
" B300 "," Edward C. Blum Playground/PS 46 "," Adelphi & Myrtle Aves. ",""," N "," 40.6938 "," -73.9712 ",0
" B359 "," Eleanor Roosevelt Playground "," Lewis Ave., DeKalb Ave., Stuyvesant Ave. and Kosciusko St. ",""," N "," 40.6927 "," -73.9357 ",0
" B313 "," El-Shabazz Playground "," Reid Ave., Malcolm X Blvd. and MacDonough St. ",""," N "," 40.6828 "," -73.9304 ",0
" B345 "," Ethan Allen Park "," Cozine Ave. Vermont St. and New Jersey Ave. ",""," N "," 40.6555 "," -73.8871 ",0
" B358 "," Eugenio Maria De Hostos Playground "," Harrison Ave., Walton to Lorimer Sts. and Throop Ave. ",""," N "," 40.7028 "," -73.9497 ",0
" B332 "," Evergreen Playground "," Evergreen Ave., Decatur St. and Schaefer St. ",""," N "," 40.6863 "," -73.9107 ",0
" B334 "," Fermi Playground "," Troutman St., Central Ave., Starr St. and Wilson Ave. ",""," N "," 40.7007 "," -73.9284 ",0
" B325 "," Fish Playground "," Saratoga Ave. between Herkimer and Fulton Sts. ",""," N "," 40.6781 "," -73.9147 ",0
" B032 "," Fort Greene Park "," Myrtle Ave., Cumberland St. and DeKalb Ave. ",""," N "," 40.6927 "," -73.9773 ",0
" B248 "," Fox Memorial Park/PS 251 Playground "," Ave. H, Ave. I and E 54 to E 55 Sts. ",""," N "," 40.6324 "," -73.9236 ",0
" B055 "," Frances Hamburger Sternberg Park "," Montrose Ave., Boerum St., Lorimer St. and Leonard St. ",""," N "," 40.7057 "," -73.9475 ",0
" B340 "," Garden Playground "," Flushing Ave., Beaver St. and Garden St. ",""," N "," 40.7012 "," -73.9381 ",0
" B254 "," George Wingate HS Playground "," SE Corner Brooklyn Ave. & Rutland Rd. ",""," N "," 40.6591 "," -73.9442 ",0
" B236 "," Glenwood Houses Playground "," Ralph Ave. & Farragut Rd. ",""," N "," 40.6365 "," -73.9199 ",0
" B243 "," Golconda Playground "," E/S Gold St. and Nassau to Concord Sts. ",""," N "," 40.6977 "," -73.9828 ",0
" B230 "," Gowanus Houses Playground "," Hoyt, Wyckoff and Bond Sts. ",""," N "," 40.6844 "," -73.9876 ",0
" B078 "," Grace Playground "," Belmont Ave., Pitkin Ave., Vermont St. and New Jersey St. ",""," N "," 40.671 "," -73.8951 ",0
" B042 "," Gravesend Park "," 18 Ave. Near 57 St. ",""," N "," 40.6235 "," -73.9848 ",0
" B301 "," Greene Playground/PS 11 Playground "," Greene Ave. between Waverly and Washington Aves. ",""," N "," 40.6865 "," -73.9661 ",0
" B285 "," Harry Maze Memorial Park "," Ave. D bet. E 56 & E 57 Sts. ",""," N "," 40.6433 "," -73.9231 ",0
" B323 "," Hattie Carthan Playground "," Monroe St., Tompkins Ave., Madison St. and Marcy Ave. ",""," N "," 40.6858 "," -73.9461 ",0
" B235 "," Herman Dolgon Playground "," Ave. V, Nostrand St. and Batchelder St. ",""," N "," 40.5982 "," -73.9406 ",0
" B166B "," Homecrest Playground "," Shore Pkwy. To Williams Ct. and E 12 St. ",""," N "," 40.586 "," -73.957 ",0
" B363 "," Houston Playground "," Powell St., Liberty Ave., Sackman St. and Glenmore Ave. ",""," N "," 40.6721 "," -73.9053 ",0
" B260 "," Howard Houses Playground & Pool "," Glenmore & Mother Gaston Blvd. ",""," N "," 40.6718 "," -73.9084 ",0
" B163 "," IS 302 (Sperandeo Brothers) "," Atlantic Ave. between Elton and Linwood Sts. ",""," N "," 40.6763 "," -73.8844 ",0
" B216 "," Israel Putnam Playground "," Sumner Ave. and Madison to Monroe Sts. ",""," N "," 40.6865 "," -73.9399 ",0
" B305 "," J Playground "," Ave. J, Ave. K, 103 St. and 104 Sts. ",""," N "," 40.6442 "," -73.893 ",0
" B111 "," J.J. Byrne Memorial Park/JHS 51 "," 3 to 4 Sts. and 4 to 5 Aves. ",""," N "," 40.6728 "," -73.9842 ",0
" B294 "," Jackie Robinson Park "," Chauncey St. E/O Reid Ave. ",""," N "," 40.68 "," -73.9277 ",0
" B357 "," Jackie Robinson Playground "," Sullivan Pl., Franklin Ave. and Montgomery St. ",""," N "," 40.6657 "," -73.9592 ",0
" B324 "," Jacob Joffe Park "," Ave. K between E 58 and E 59 Sts. ",""," N "," 40.625 "," -73.9194 ",0
" B291 "," James Marshall Power Playground "," Ave. N & Utica Ave. ",""," N "," 40.6183 "," -73.9276 ",0
" B246 "," Jerome Playground "," Wortman Ave. & Warwick St. ",""," N "," 40.6591 "," -73.8796 ",0
" B269 "," Jesse Owens Playground "," Stuyvesant & Lafayette Aves. ",""," N "," 40.6912 "," -73.9326 ",0
" B151 "," Jessie & Charles Dome Playground "," NE Corner 38 St. & Dahill Rd. ",""," N "," 40.638 "," -73.98 ",0
" B346 "," JHS 126 Playground "," Manhattan Ave. & Leonard St. (Ericsson Playground) ",""," N "," 40.7205 "," -73.9484 ",0
" B210I "," JHS 136 Playground (Playground Three-Forty) "," 40 St., 41 St. and 3 Ave. ",""," N "," 40.6523 "," -74.0084 ",0
" B210A "," John Allen Payne Park "," 64 to 65 Sts. and 3 Ave. ",""," N "," 40.6399 "," -74.0242 ",0
" B237 "," John Hancock Playground "," Bedford Ave., Hancock St. and Jefferson Ave. ",""," N "," 40.6822 "," -73.9543 ",0
" B210W-03 "," John J. Carty Park "," Ft. Hamilton, Gowanus Pkwy., and 94 to 101 Sts. ",""," N "," 40.6133 "," -74.0302 ",0
" B157 "," Kelly Playground "," N/S Ave. S between BMT and PS 255 ",""," N "," 40.6042 "," -73.9564 ",0
" B304 "," Kennedy King Playground "," Lenox Rd., Clarkson Ave., E 93 St. and E 94 St. ",""," N "," 40.6586 "," -73.9221 ",0
" B317 "," Lafayette Gardens Playground "," Lafayette & Franklin Aves. ",""," N "," 40.6896 "," -73.9574 ",0
" B106B "," Lafayette Playground "," Lafayette & E/O Reid Aves. ",""," N "," 40.5946 "," -73.9854 ",0
" B167A "," LaGuardia Playground "," Havemeyer to Roebling Sts. and S 4 to S 5 Sts. ",""," N "," 40.71 "," -73.9593 ",0
" B052 "," Leif Ericson Park & Square "," 66-67 Sts. and 8 to 9 Aves. ",""," N "," 40.636 "," -74.0205 ",0
" B129 "," Leon S. Kaiser Playground "," Coney Island Creek and W 24 St. ",""," Y "," 40.5784 "," -73.9962 ",0
" B054 "," Lincoln Terrace "," Rochester Ave. and President St. ",""," N "," 40.6657 "," -73.9268 ",0
" B214 "," Linden Playground/JHS 166 "," Linden Blvd., Stanley Ave. and Vermont to Wyona Sts. ",""," N "," 40.659 "," -73.8869 ",0
