id_evento,nombre,fecha,artistas,horario,club_id,club_nombre,club_imagen,direccion,poblacion,provincia,pais,estilo,direccion completa
175452,Cocoon Ibiza 2011,2011-07-18,</b> djs por anunciar,00:00-07:00h,412,Amnesia,Amnesia_Ibiza.jpg,Carrer d'Eivissa-San Antoni,San Rafael. Ibiza,Baleares,España,Techno,"Carrer d'Eivissa-San Antoni, San Rafael. Ibiza, España"
174357,Carl Cox: The Revolution Continues,2011-07-19,Carl Cox + ...,20:00-07:00h,333,Space Ibiza,Space_Ibiza.jpg,Carretera de Platge Den Bossa,Ibiza,Baleares,España,House,"Carretera de Platge Den Bossa, Ibiza, España"
175813,"",2011-07-19,Moby (concierto),Sin confirmar,1125,No Club,nologo.jpg,Sin confirmar,Sin confirmar,Barcelona,España,Indie,"Sin confirmar, Sin confirmar, España"
174813,Low Cost Festival 2011 - Día 1,2011-07-21,"</b>
Artistas confirmados para todo el festival:
CatPeople + Sidonie + Sexy Sadie + The Bright + Eric Fuentes + Stay + Gratis! + Vinila Von Bismark & The Lucky Dados + Fuzzy White Casters + Sex Museum + After after hours + Loo & Placido + Cut Copy + Los Tiki Phantoms + L.A. + Lori Meyers + Delafé y las flores azules + Cristal Castles + Steve Aoki + Ok Go + Goose + Dorian + Standstill + Maika Makovski + Supersubmarina + Maga + Dos Bandas y un Destino + Atom Rhumba + Mando Diao + Vetusta Morla",Sin confirmar,1125,No Club,nologo.jpg,Sin confirmar,Sin confirmar,Alicante,España,Indie,"Sin confirmar, Sin confirmar, España"
174814,Low Cost Festival 2011 - Día 2,2011-07-22,"</b>
Artistas confirmados para todo el festival:
CatPeople + Sidonie + Sexy Sadie + The Bright + Eric Fuentes + Stay + Gratis! + Vinila Von Bismark & The Lucky Dados + Fuzzy White Casters + Sex Museum + After after hours + Loo & Placido + Cut Copy + Los Tiki Phantoms + L.A. + Lori Meyers + Delafé y las flores azules + Cristal Castles + Steve Aoki + Ok Go + Goose + Dorian + Standstill + Maika Makovski + Supersubmarina + Maga + Dos Bandas y un Destino + Atom Rhumba + Mando Diao + Vetusta Morla",Sin confirmar,1125,No Club,nologo.jpg,Sin confirmar,Sin confirmar,Alicante,España,Indie,"Sin confirmar, Sin confirmar, España"
175830,"",2011-07-22,Christopher Lawrence,21:00h,1125,No Club,nologo.jpg,Sin confirmar,Sin confirmar,Extranjero,USA,House,"Sin confirmar, Sin confirmar, USA"
176054,Come Together 2011,2011-07-22,</b> tbc,20:00-07:00h,333,Space Ibiza,Space_Ibiza.jpg,Carretera de Platge Den Bossa,Ibiza,Baleares,España,House,"Carretera de Platge Den Bossa, Ibiza, España"
176279,Soundwave Festival 2011 - Day 1,2011-07-22,"</b>
Artistas confirmados para todo el festival:
Roots Manuva + Bonobo Live Feat. Andreya Triana + Little Dragon + Zero 7 (DJ set) + Belleruche + Floating Points + Andreya Triana + DJ Format + Hexstatic (Trailer Trax AV set) + Keb Darge + Yungun & Mr Thing + Channel One Soundsystem + Kidkanevil + Stuart McCallam (The Cinematic Orchestra) + Laura J Martin + The Simonsound + Lazy Habits + Smerins Anti-Social Club + Submotion Orchestra + Part Time Heroes + Illum Sphere (Live AV Set) + Eliphino + Alexander Nut + Anchorsong + Kutmah + Blue Daisy + Jenna G + Olivier Daysoul + Gilla + Ariya Astrobeat Arkestra + Fatima + KrystalKlear + Funkineven + Riot Jazz + Wrongtom + Stac (wah wah 45&#8242;s) + Shura + Spin Doctor (+Doctors Orders DJs) + DJ Cheeba + Serious Sam Barrett + Chunky + LeaLea Jones + Boycom + Danny Drive Thru + DJ Suhaid + DJ Shepdog / Nice Up + DJ Mikey J + Fife + Rich Reason + Jonny Dub + DJ Mylz + Style One + Soundcrash + New Bohemia + Hyponik + Hoya:Hoya + Eglo Records + Doctors Orders + Nice Up! + Tuesday Club + The Departure Lounge + Choice Cuts DJs + Heducation + Detectives of Perspective + Yeah, Maybe + somethinksounds",n/c,1125,No Club,nologo.jpg,Sin confirmar,Sin confirmar,Extranjero,Croacia,sin especificar,"Sin confirmar, Sin confirmar, Croacia"
173054,Tomorrowland 2011 - Día 1,2011-07-23,"</b>
Artistas confirmados para todo el festival:
Avicii + Afrojack + Marcel Dettmann vs Marcel Fengler + Ferry Corsten + DJ Rush + Above & Beyond. + M.A.N.D.Y. + Jeugd van Tegenwoordig + Seth troxler vs Bill Patrick + Ben Sims + Surgeon + Paul Mac + Dixon vs Âme + Simon Patterson + Pet Duo + Growling Mad Scientists",12:00-01:00h,1125,No Club,nologo.jpg,Sin confirmar,Sin confirmar,Extranjero,Bélgica,sin especificar,"Sin confirmar, Sin confirmar, Bélgica"
173228,I'll Be Your Mirror (curated by Portishead) - Día 1,2011-07-23,Portishead + PJ Harvey + Doom + Company Flow + The Books + Factory Floor + BEAK> + DD/MM/YYYY + ...,Sin confirmar,1125,No Club,nologo.jpg,Sin confirmar,Sin confirmar,Extranjero,UK,Indie,"Sin confirmar, Sin confirmar, UK"
